date,action,conviction,confidence,position_pct,rationale
2023-07-27,sell,moderate,0.670702868939486,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.46) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.471, risk-adjusted: -0.471"
2023-07-28,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.64) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.919, risk-adjusted: -0.919"
2023-07-31,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.61) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.917, risk-adjusted: -0.917"
2023-08-01,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.61) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.917, risk-adjusted: -0.917"
2023-08-02,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.51) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-03,sell,moderate,0.6767511382428235,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.45) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.477, risk-adjusted: -0.477"
2023-08-04,sell,moderate,0.6767511382428235,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.45) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.477, risk-adjusted: -0.477"
2023-08-07,sell,moderate,0.6767511382428235,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.45) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.477, risk-adjusted: -0.477"
2023-08-08,sell,moderate,0.6767511382428235,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.45) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.477, risk-adjusted: -0.477"
2023-08-09,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.51) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-10,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.52) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-11,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.52) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-14,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.52) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-15,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.52) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.910"
2023-08-16,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.55) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.913, risk-adjusted: -0.913"
2023-08-17,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.55) | Event context (neutral, conf=0.10) | Risk level: low (rec=proceed) | Weighted score: -0.913, risk-adjusted: -0.913"
2023-08-18,sell,high,0.95,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.76) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.926, risk-adjusted: -0.926"
2023-08-21,sell,high,0.9411625148279952,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.76) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.926, risk-adjusted: -0.741"
2023-08-22,sell,high,0.9411625148279952,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.76) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.926, risk-adjusted: -0.741"
2023-08-23,sell,high,0.94238592633315,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.928, risk-adjusted: -0.742"
2023-08-24,sell,high,0.94238592633315,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.928, risk-adjusted: -0.742"
2023-08-25,sell,high,0.94238592633315,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.928, risk-adjusted: -0.742"
2023-08-28,sell,moderate,0.6543155579989005,0.06,"Chart analysis (neutral, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.568, risk-adjusted: -0.45"
2023-08-29,sell,moderate,0.6543155579989005,0.06,"Chart analysis (neutral, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.568, risk-adjusted: -0.45"
2023-08-30,sell,moderate,0.6543155579989005,0.06,"Chart analysis (neutral, conf=0.50) | Pattern analysis (bearish, conf=0.79) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.568, risk-adjusted: -0.45"
2023-08-31,hold,low,0.3527876631079478,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.76) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.191, risk-adjusted: -0.15"
2023-09-01,hold,low,0.3527876631079478,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.76) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.191, risk-adjusted: -0.153 | "
2023-09-04,hold,low,0.31340083382966055,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.68) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.142, risk-adjusted: -0.113 | "
2023-09-05,hold,low,0.2736842105263158,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.61) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.092, risk-adjusted: -0.074 | "
2023-09-06,hold,low,0.2736842105263158,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.61) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.092, risk-adjusted: -0.074 | "
2023-09-07,hold,low,0.28802588996763756,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.64) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.110, risk-adjusted: -0.088 | "
2023-09-08,hold,low,0.2645892351274788,0.0,"Chart analysis (bullish, conf=0.50) | Pattern analysis (bearish, conf=0.60) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.081, risk-adjusted: -0.065 | "
